index,unixTimestamp,TP9,AF7,AF8,TP10
6,1746312965675.6875,-5.37109375,-58.59375,-40.0390625,-11.71875
7,1746312965679.5938,-18.5546875,-59.08203125,-51.26953125,-25.390625
8,1746312965683.5,-12.6953125,-67.3828125,-49.31640625,-28.80859375
9,1746312965687.4062,-4.8828125,-67.3828125,-40.0390625,-5.37109375
10,1746312965691.3125,-24.4140625,-56.15234375,-39.0625,2.44140625
11,1746312965695.2188,-28.80859375,-53.7109375,-47.36328125,-26.3671875
0,1746312965699.125,-30.2734375,-52.734375,-45.8984375,-44.43359375
1,1746312965703.0312,-24.90234375,-47.8515625,-30.76171875,-35.15625
2,1746312965706.9375,-16.6015625,-50.78125,-28.3203125,-25.87890625
3,1746312965710.8438,-22.94921875,-52.24609375,-31.73828125,-28.3203125
4,1746312965714.75,-21.484375,-45.8984375,-36.62109375,-20.99609375
5,1746312965718.6562,-16.11328125,-46.38671875,-38.0859375,-4.39453125
6,1746312965722.5625,-7.32421875,-45.41015625,-39.0625,-12.20703125
7,1746312965726.4688,-16.11328125,-42.48046875,-44.43359375,-23.4375
8,1746312965730.375,-30.2734375,-44.43359375,-37.59765625,-20.5078125
9,1746312965734.2812,-23.92578125,-44.921875,-30.76171875,-15.13671875
10,1746312965738.1875,-14.6484375,-43.45703125,-27.83203125,-12.20703125
11,1746312965742.0938,-13.671875,-43.9453125,-33.69140625,1.46484375
0,1746312965746,-30.76171875,-44.43359375,-42.48046875,-24.4140625
1,1746312965749.9062,-43.9453125,-41.9921875,-37.59765625,-45.8984375
2,1746312965753.8125,-28.80859375,-44.43359375,-33.69140625,-18.5546875
3,1746312965757.7188,-19.53125,-47.36328125,-37.109375,-13.18359375
4,1746312965761.625,-28.3203125,-43.9453125,-44.43359375,-24.4140625
5,1746312965765.5312,-35.64453125,-43.9453125,-43.45703125,-26.3671875
6,1746312965769.4375,-32.2265625,-47.8515625,-38.0859375,-19.53125
7,1746312965773.3438,-28.80859375,-51.26953125,-37.59765625,-17.08984375
8,1746312965777.25,-29.296875,-61.5234375,-30.76171875,-16.6015625
9,1746312965781.1562,-29.296875,-76.171875,-33.69140625,-22.94921875
10,1746312965785.0625,-29.78515625,-80.56640625,-37.109375,-20.99609375
11,1746312965788.9688,-25.87890625,-86.42578125,-35.64453125,-12.6953125
0,1746312965792.875,-24.90234375,-86.42578125,-41.015625,-23.4375
1,1746312965796.7812,-36.1328125,-77.63671875,-42.48046875,-56.15234375
2,1746312965800.6875,-27.83203125,-62.5,-37.59765625,-42.48046875
3,1746312965804.5938,-15.625,-44.921875,-37.109375,-12.6953125
4,1746312965808.5,-28.3203125,-38.57421875,-36.62109375,-19.04296875
5,1746312965812.4062,-44.43359375,-33.203125,-32.2265625,-38.57421875
6,1746312965816.3125,-36.62109375,-28.3203125,-31.25,-33.203125
7,1746312965820.2188,-33.203125,-24.90234375,-30.2734375,-20.01953125
8,1746312965824.125,-40.0390625,-17.08984375,-28.80859375,-20.99609375
9,1746312965828.0312,-36.62109375,-13.18359375,-29.296875,-28.80859375
10,1746312965831.9375,-38.57421875,-9.27734375,-31.73828125,-23.92578125
11,1746312965835.8438,-29.296875,-1.46484375,-34.1796875,-9.27734375
0,1746312965839.75,-20.5078125,-2.9296875,-29.296875,3.90625
1,1746312965843.6562,-23.4375,-3.90625,-26.85546875,-13.18359375
2,1746312965847.5625,-40.52734375,1.953125,-39.0625,-39.55078125
3,1746312965851.4688,-38.57421875,-1.46484375,-40.52734375,-16.11328125
4,1746312965855.375,-21.97265625,-6.8359375,-27.34375,-110.83984375
5,1746312965859.2812,-20.5078125,-2.44140625,-22.94921875,-254.39453125
6,1746312965863.1875,-23.92578125,-4.8828125,-39.55078125,-304.19921875
7,1746312965867.0938,-23.92578125,-10.25390625,-43.9453125,-312.5
8,1746312965871,-19.04296875,-10.7421875,-20.01953125,-291.9921875
9,1746312965874.9062,-20.99609375,-16.11328125,-13.671875,-296.875
10,1746312965878.8125,-32.71484375,-19.04296875,-23.92578125,-293.45703125
11,1746312965882.7188,-34.66796875,-22.94921875,-29.78515625,-259.27734375
0,1746312965886.625,-30.76171875,-20.5078125,-37.59765625,-247.55859375
1,1746312965890.5312,-26.3671875,-18.06640625,-41.015625,-247.55859375
2,1746312965894.4375,-22.4609375,-19.04296875,-34.66796875,-231.4453125
3,1746312965898.3438,-26.85546875,-16.11328125,-30.2734375,-212.40234375
4,1746312965902.25,-28.3203125,-17.08984375,-38.0859375,-191.40625
5,1746312965906.1562,-27.34375,-19.53125,-39.55078125,-165.52734375
6,1746312965910.0625,-30.2734375,-24.90234375,-37.109375,-135.7421875
7,1746312965913.9688,-38.0859375,-31.73828125,-34.66796875,-130.859375
8,1746312965917.875,-35.64453125,-29.78515625,-33.69140625,-142.578125
9,1746312965921.7812,-24.90234375,-23.4375,-34.66796875,-94.23828125
10,1746312965925.6875,-16.6015625,-24.90234375,-28.3203125,-66.40625
11,1746312965929.5938,-24.4140625,-34.66796875,-28.3203125,-73.73046875
0,1746312965933.5,-31.25,-35.15625,-27.83203125,-65.91796875
1,1746312965937.4062,-23.4375,-23.4375,-30.76171875,-37.109375
2,1746312965941.3125,-24.4140625,-16.6015625,-31.25,1.46484375
3,1746312965945.2188,-27.83203125,-19.04296875,-24.4140625,6.8359375
4,1746312965949.125,-27.34375,-26.3671875,-26.85546875,15.625
5,1746312965953.0312,-23.4375,-27.83203125,-29.296875,37.109375
6,1746312965956.9375,-28.3203125,-30.2734375,-28.3203125,32.71484375
7,1746312965960.8438,-32.2265625,-30.76171875,-27.34375,11.71875
8,1746312965964.75,-29.296875,-23.92578125,-27.34375,-9.27734375
9,1746312965968.6562,-19.53125,-25.87890625,-28.3203125,-2.44140625
10,1746312965972.5625,-19.04296875,-30.76171875,-28.3203125,5.859375
11,1746312965976.4688,-36.1328125,-39.0625,-27.83203125,-6.34765625
0,1746312965980.375,-40.52734375,-40.52734375,-27.83203125,-28.3203125
1,1746312965984.2812,-32.71484375,-39.55078125,-19.53125,-34.1796875
2,1746312965988.1875,-32.71484375,-37.109375,-16.6015625,-18.5546875
3,1746312965992.0938,-34.66796875,-32.71484375,-25.87890625,-31.25
4,1746312965996,-41.50390625,-31.25,-32.2265625,-41.9921875
5,1746312965999.9062,-45.41015625,-32.71484375,-28.80859375,-36.1328125
6,1746312966003.8125,-49.31640625,-34.66796875,-26.3671875,-25.87890625
7,1746312966007.7188,-45.8984375,-36.1328125,-31.73828125,-18.5546875
8,1746312966011.625,-44.921875,-39.55078125,-39.55078125,-14.6484375
9,1746312966015.5312,-59.5703125,-38.57421875,-39.55078125,-33.69140625
10,1746312966019.4375,-38.0859375,-30.76171875,-36.1328125,-21.484375
11,1746312966023.3438,-18.06640625,-31.73828125,-36.62109375,-3.41796875
0,1746312966027.25,-29.78515625,-33.203125,-35.64453125,-23.4375
1,1746312966031.1562,-40.52734375,-33.203125,-40.52734375,-40.0390625
2,1746312966035.0625,-33.69140625,-39.55078125,-41.9921875,-32.71484375
3,1746312966038.9688,-22.4609375,-43.9453125,-36.1328125,-24.4140625
4,1746312966042.875,-31.25,-37.109375,-40.0390625,-40.52734375
5,1746312966046.7812,-39.0625,-35.15625,-38.57421875,-42.48046875
6,1746312966050.6875,-31.73828125,-36.62109375,-25.390625,-16.6015625
7,1746312966054.5938,-33.69140625,-44.43359375,-24.4140625,2.44140625
8,1746312966058.5,-25.390625,-41.9921875,-25.390625,-17.578125
