index,unixTimestamp,TP9,AF7,AF8,TP10
0,1746313037558.5,0,0,0,0
1,1746313037562.4062,0,0,0,-0.48828125
2,1746313037566.3125,-1.46484375,-1.953125,-1.953125,-2.44140625
3,1746313037570.2188,2.44140625,2.9296875,2.9296875,4.39453125
4,1746313037574.125,-15.13671875,-19.53125,-16.11328125,-26.3671875
5,1746313037578.0312,-44.43359375,-55.17578125,-48.33984375,-66.40625
6,1746313037581.9375,-50.29296875,-55.6640625,-49.8046875,-65.4296875
7,1746313037585.8438,-50.78125,-49.31640625,-46.875,-79.1015625
8,1746313037589.75,-45.41015625,-47.36328125,-44.921875,-83.0078125
9,1746313037593.6562,-51.7578125,-52.24609375,-41.015625,-72.75390625
10,1746313037597.5625,-51.26953125,-47.36328125,-44.43359375,-76.171875
11,1746313037601.4688,-33.69140625,-43.9453125,-47.36328125,-81.0546875
0,1746313037605.375,-35.15625,-48.33984375,-42.96875,-74.21875
1,1746313037609.2812,-30.76171875,-41.50390625,-45.41015625,-59.5703125
2,1746313037613.1875,-22.4609375,-43.9453125,-42.48046875,-61.03515625
3,1746313037617.0938,-23.4375,-47.8515625,-41.50390625,-70.3125
4,1746313037621,-28.3203125,-49.8046875,-42.96875,-67.87109375
5,1746313037624.9062,-30.2734375,-49.8046875,-34.66796875,-68.84765625
6,1746313037628.8125,-30.76171875,-50.29296875,-34.1796875,-56.15234375
7,1746313037632.7188,-46.38671875,-58.10546875,-42.96875,-62.01171875
8,1746313037636.625,-33.203125,-59.08203125,-45.41015625,-74.70703125
9,1746313037640.5312,-16.11328125,-56.15234375,-45.8984375,-58.59375
10,1746313037644.4375,-39.0625,-50.29296875,-51.26953125,-56.15234375
11,1746313037648.3438,-41.9921875,-53.7109375,-48.33984375,-76.66015625
0,1746313037652.25,-36.1328125,-58.10546875,-48.828125,-86.9140625
1,1746313037656.1562,-39.55078125,-57.12890625,-50.78125,-85.9375
2,1746313037660.0625,-40.0390625,-55.17578125,-47.36328125,-77.1484375
3,1746313037663.9688,-45.41015625,-55.6640625,-44.43359375,-68.84765625
4,1746313037667.875,-49.31640625,-51.26953125,-42.48046875,-69.3359375
5,1746313037671.7812,-51.26953125,-45.8984375,-45.41015625,-68.84765625
6,1746313037675.6875,-49.31640625,-50.78125,-46.38671875,-60.546875
7,1746313037679.5938,-52.734375,-55.17578125,-42.96875,-48.33984375
8,1746313037683.5,-52.24609375,-54.19921875,-41.9921875,-49.31640625
9,1746313037687.4062,-49.31640625,-55.17578125,-43.45703125,-63.96484375
10,1746313037691.3125,-47.36328125,-55.17578125,-42.48046875,-56.15234375
11,1746313037695.2188,-39.0625,-56.15234375,-47.8515625,-46.38671875
0,1746313037699.125,-40.0390625,-54.6875,-50.29296875,-40.52734375
1,1746313037703.0312,-39.0625,-50.78125,-42.48046875,-40.0390625
2,1746313037706.9375,-33.69140625,-49.31640625,-38.57421875,-54.19921875
3,1746313037710.8438,-32.2265625,-49.8046875,-40.52734375,-63.96484375
4,1746313037714.75,-28.3203125,-49.31640625,-40.0390625,-65.91796875
5,1746313037718.6562,-35.64453125,-46.875,-37.109375,-69.3359375
6,1746313037722.5625,-44.921875,-48.33984375,-35.15625,-61.03515625
7,1746313037726.4688,-46.38671875,-46.875,-32.71484375,-45.41015625
8,1746313037730.375,-44.43359375,-49.8046875,-33.69140625,-27.34375
9,1746313037734.2812,-47.8515625,-53.22265625,-36.1328125,-17.08984375
10,1746313037738.1875,-47.8515625,-48.33984375,-43.9453125,-36.1328125
11,1746313037742.0938,-47.36328125,-51.7578125,-42.96875,-43.9453125
0,1746313037746,-62.01171875,-49.31640625,-40.52734375,-46.38671875
1,1746313037749.9062,-51.7578125,-47.8515625,-39.55078125,-55.17578125
2,1746313037753.8125,-26.3671875,-48.828125,-37.59765625,-63.96484375
3,1746313037757.7188,-20.01953125,-46.875,-39.0625,-60.546875
4,1746313037761.625,-28.80859375,-47.8515625,-39.55078125,-49.31640625
5,1746313037765.5312,-39.0625,-44.43359375,-39.0625,-49.8046875
6,1746313037769.4375,-30.76171875,-44.43359375,-33.69140625,-49.8046875
7,1746313037773.3438,-22.94921875,-41.9921875,-38.57421875,-51.7578125
8,1746313037777.25,-25.390625,-48.828125,-44.921875,-50.29296875
9,1746313037781.1562,-21.97265625,-53.22265625,-40.52734375,-49.8046875
10,1746313037785.0625,-19.04296875,-48.828125,-40.0390625,-64.94140625
11,1746313037788.9688,-22.94921875,-46.875,-42.48046875,-71.77734375
0,1746313037792.875,-33.203125,-48.828125,-38.0859375,-60.05859375
1,1746313037796.7812,-28.3203125,-48.33984375,-39.55078125,-51.7578125
2,1746313037800.6875,-30.76171875,-48.828125,-42.48046875,-60.05859375
3,1746313037804.5938,-39.0625,-50.78125,-41.015625,-58.59375
4,1746313037808.5,-39.0625,-50.29296875,-38.57421875,-45.8984375
5,1746313037812.4062,-47.36328125,-46.38671875,-38.0859375,-49.8046875
6,1746313037816.3125,-57.12890625,-51.26953125,-40.0390625,-59.5703125
7,1746313037820.2188,-52.734375,-51.26953125,-38.0859375,-58.59375
8,1746313037824.125,-38.57421875,-46.875,-36.62109375,-46.38671875
9,1746313037828.0312,-42.48046875,-45.8984375,-36.1328125,-42.48046875
10,1746313037831.9375,-48.828125,-45.41015625,-38.57421875,-38.57421875
11,1746313037835.8438,-33.69140625,-44.921875,-41.50390625,-34.66796875
0,1746313037839.75,-41.015625,-46.38671875,-39.55078125,-48.828125
1,1746313037843.6562,-53.22265625,-50.78125,-40.0390625,-49.31640625
2,1746313037847.5625,-42.48046875,-44.921875,-40.0390625,-44.43359375
3,1746313037851.4688,-43.45703125,-49.31640625,-36.62109375,-38.0859375
4,1746313037855.375,-49.31640625,-54.19921875,-36.1328125,-35.64453125
5,1746313037859.2812,-53.22265625,-45.8984375,-41.9921875,-47.8515625
6,1746313037863.1875,-45.41015625,-44.921875,-45.41015625,-55.17578125
7,1746313037867.0938,-49.31640625,-49.31640625,-43.45703125,-61.5234375
8,1746313037871,-57.6171875,-44.921875,-40.52734375,-60.05859375
9,1746313037874.9062,-54.6875,-40.52734375,-42.96875,-53.7109375
10,1746313037878.8125,-53.22265625,-42.96875,-42.96875,-50.29296875
11,1746313037882.7188,-55.6640625,-41.50390625,-37.59765625,-52.24609375
0,1746313037886.625,-58.10546875,-41.015625,-41.9921875,-64.94140625
1,1746313037890.5312,-56.15234375,-41.50390625,-45.41015625,-71.2890625
2,1746313037894.4375,-44.43359375,-45.41015625,-45.8984375,-67.3828125
3,1746313037898.3438,-33.69140625,-47.8515625,-43.45703125,-61.03515625
4,1746313037902.25,-41.50390625,-41.015625,-39.0625,-69.3359375
5,1746313037906.1562,-51.7578125,-40.0390625,-37.109375,-68.84765625
6,1746313037910.0625,-43.9453125,-44.921875,-41.9921875,-51.7578125
7,1746313037913.9688,-52.734375,-41.015625,-46.38671875,-56.640625
8,1746313037917.875,-72.75390625,-38.57421875,-45.41015625,-62.5
9,1746313037921.7812,-52.24609375,-39.55078125,-39.55078125,-46.875
10,1746313037925.6875,-35.15625,-44.921875,-39.55078125,-30.2734375
11,1746313037929.5938,-56.15234375,-48.828125,-42.48046875,-38.57421875
0,1746313037933.5,-57.12890625,-48.33984375,-41.015625,-42.48046875
1,1746313037937.4062,-46.38671875,-41.9921875,-46.875,-39.55078125
2,1746313037941.3125,-50.78125,-37.59765625,-47.8515625,-43.45703125
3,1746313037945.2188,-39.0625,-46.875,-41.50390625,-44.43359375
4,1746313037949.125,-61.5234375,-43.9453125,-36.62109375,-39.0625
5,1746313037953.0312,-78.61328125,-37.59765625,-37.59765625,-34.1796875
6,1746313037956.9375,-50.29296875,-43.9453125,-38.0859375,-27.83203125
7,1746313037960.8438,-49.8046875,-43.9453125,-36.1328125,-34.66796875
8,1746313037964.75,-61.5234375,-39.55078125,-34.66796875,-38.57421875
9,1746313037968.6562,-64.94140625,-38.57421875,-37.109375,-39.55078125
10,1746313037972.5625,-59.5703125,-44.43359375,-36.62109375,-48.828125
11,1746313037976.4688,-56.640625,-47.36328125,-33.203125,-47.8515625
0,1746313037980.375,-61.03515625,-50.29296875,-34.1796875,-50.29296875
1,1746313037984.2812,-63.4765625,-47.36328125,-38.0859375,-47.36328125
2,1746313037988.1875,-63.4765625,-46.38671875,-36.62109375,-42.96875
3,1746313037992.0938,-24.4140625,-49.8046875,-32.2265625,-41.9921875
4,1746313037996,-6.8359375,-40.52734375,-35.64453125,-45.41015625
5,1746313037999.9062,-23.4375,-39.55078125,-36.62109375,-52.24609375
6,1746313038003.8125,-21.484375,-49.8046875,-31.73828125,-43.9453125
7,1746313038007.7188,-2.44140625,-42.96875,-29.296875,-32.2265625
8,1746313038011.625,-5.37109375,-36.62109375,-31.25,-34.66796875
9,1746313038015.5312,-33.69140625,-36.62109375,-36.1328125,-43.45703125
10,1746313038019.4375,-34.1796875,-37.59765625,-38.0859375,-39.55078125
11,1746313038023.3438,-22.4609375,-43.9453125,-39.0625,-36.62109375
0,1746313038027.25,-30.2734375,-45.8984375,-33.69140625,-37.59765625
1,1746313038031.1562,-46.875,-41.015625,-34.66796875,-41.015625
2,1746313038035.0625,-47.36328125,-41.015625,-40.0390625,-48.828125
3,1746313038038.9688,-35.15625,-41.9921875,-40.0390625,-51.7578125
4,1746313038042.875,-37.109375,-44.921875,-40.0390625,-47.36328125
5,1746313038046.7812,-48.828125,-47.36328125,-38.57421875,-40.52734375
6,1746313038050.6875,-51.26953125,-44.921875,-36.62109375,-42.48046875
7,1746313038054.5938,-48.33984375,-42.96875,-35.64453125,-37.109375
8,1746313038058.5,-39.0625,-39.0625,-34.1796875,-33.69140625
9,1746313038062.4062,-37.109375,-42.48046875,-37.59765625,-38.57421875
10,1746313038066.3125,-34.1796875,-45.41015625,-40.52734375,-41.50390625
11,1746313038070.2188,-36.1328125,-43.9453125,-37.59765625,-40.52734375
0,1746313038074.125,-47.36328125,-39.0625,-37.59765625,-31.73828125
1,1746313038078.0312,-43.9453125,-41.50390625,-35.15625,-27.83203125
2,1746313038081.9375,-40.52734375,-46.38671875,-30.76171875,-33.203125
3,1746313038085.8438,-43.9453125,-46.875,-32.2265625,-33.203125
4,1746313038089.75,-49.8046875,-44.43359375,-33.203125,-26.85546875
5,1746313038093.6562,-47.8515625,-45.8984375,-29.78515625,-25.390625
6,1746313038097.5625,-36.62109375,-48.33984375,-31.25,-25.390625
7,1746313038101.4688,-52.734375,-45.8984375,-36.1328125,-25.87890625
8,1746313038105.375,-59.5703125,-44.921875,-31.73828125,-23.92578125
9,1746313038109.2812,-56.640625,-40.52734375,-29.78515625,-19.04296875
10,1746313038113.1875,-55.17578125,-41.015625,-25.87890625,-26.85546875
11,1746313038117.0938,-46.875,-46.38671875,-24.90234375,-31.25
0,1746313038121,-51.26953125,-37.109375,-29.78515625,-33.69140625
1,1746313038124.9062,-48.828125,-38.57421875,-25.87890625,-30.2734375
2,1746313038128.8125,-45.41015625,-51.26953125,-23.92578125,-12.20703125
3,1746313038132.7188,-40.52734375,-46.875,-31.25,-18.06640625
4,1746313038136.625,-49.31640625,-39.55078125,-33.203125,-33.69140625
5,1746313038140.5312,-57.12890625,-41.015625,-30.76171875,-32.2265625
6,1746313038144.4375,-46.38671875,-41.50390625,-34.66796875,-32.2265625
7,1746313038148.3438,-45.41015625,-41.50390625,-34.1796875,-42.96875
8,1746313038152.25,-46.875,-39.55078125,-34.1796875,-43.9453125
9,1746313038156.1562,-39.0625,-39.55078125,-34.66796875,-31.73828125
10,1746313038160.0625,-40.0390625,-41.50390625,-33.69140625,-23.92578125
11,1746313038163.9688,-48.828125,-40.0390625,-31.25,-22.94921875
0,1746313038167.875,-54.19921875,-36.1328125,-33.203125,-34.1796875
1,1746313038171.7812,-59.5703125,-35.15625,-33.69140625,-32.2265625
2,1746313038175.6875,-51.26953125,-36.62109375,-32.71484375,-30.2734375
3,1746313038179.5938,-50.29296875,-36.62109375,-39.55078125,-34.66796875
4,1746313038183.5,-51.26953125,-39.0625,-40.0390625,-41.50390625
5,1746313038187.4062,-52.24609375,-41.015625,-37.59765625,-51.7578125
6,1746313038191.3125,-53.7109375,-37.109375,-37.109375,-46.38671875
7,1746313038195.2188,-43.45703125,-38.0859375,-36.62109375,-48.33984375
8,1746313038199.125,-55.17578125,-41.9921875,-41.50390625,-47.8515625
9,1746313038203.0312,-67.3828125,-41.50390625,-44.43359375,-50.78125
10,1746313038206.9375,-67.87109375,-43.45703125,-39.0625,-45.8984375
11,1746313038210.8438,-65.4296875,-45.41015625,-37.59765625,-41.50390625
