index,unixTimestamp,TP9,AF7,AF8,TP10
0,1746312948496,0,0,0,0
1,1746312948499.9062,-0.48828125,0,0,-0.48828125
2,1746312948503.8125,-0.48828125,-0.9765625,-1.953125,-0.48828125
3,1746312948507.7188,0.9765625,0.9765625,4.39453125,1.46484375
4,1746312948511.625,-7.32421875,-7.8125,-18.5546875,-11.71875
5,1746312948515.5312,-3.41796875,-29.78515625,-45.41015625,-9.765625
6,1746312948519.4375,12.20703125,-57.12890625,-14.6484375,-12.6953125
7,1746312948523.3438,-22.4609375,-60.05859375,-5.37109375,-38.0859375
8,1746312948527.25,-45.41015625,-26.3671875,-21.484375,-33.69140625
9,1746312948531.1562,-20.01953125,-11.71875,-22.4609375,-17.08984375
10,1746312948535.0625,-28.3203125,-27.34375,-20.99609375,-2.44140625
11,1746312948538.9688,-37.109375,-50.78125,-33.69140625,4.39453125
0,1746312948542.875,-20.99609375,-71.77734375,-32.2265625,-7.32421875
1,1746312948546.7812,-30.76171875,-59.08203125,-33.203125,-19.04296875
2,1746312948550.6875,-46.875,-37.59765625,-42.48046875,-2.9296875
3,1746312948554.5938,-35.64453125,-51.7578125,-28.3203125,-2.9296875
4,1746312948558.5,-25.87890625,-62.98828125,-20.5078125,-17.08984375
5,1746312948562.4062,-30.2734375,-39.55078125,-28.80859375,-28.3203125
6,1746312948566.3125,-39.0625,-0.9765625,-41.50390625,-17.578125
7,1746312948570.2188,-58.10546875,-4.8828125,-24.4140625,1.953125
8,1746312948574.125,-71.2890625,-29.296875,-28.3203125,-52.24609375
9,1746312948578.0312,-46.875,-34.1796875,-38.57421875,-59.08203125
10,1746312948581.9375,-54.6875,-25.390625,-23.4375,-29.296875
11,1746312948585.8438,-65.91796875,-14.6484375,-29.296875,-37.59765625
0,1746312948589.75,-40.52734375,-27.83203125,-23.92578125,-23.4375
1,1746312948593.6562,-28.3203125,-73.73046875,-6.34765625,3.90625
2,1746312948597.5625,-66.40625,-63.4765625,-41.015625,-37.59765625
3,1746312948601.4688,-83.984375,-18.06640625,-74.70703125,-76.66015625
4,1746312948605.375,-39.0625,-14.6484375,-56.640625,-47.36328125
5,1746312948609.2812,-46.875,-8.7890625,-54.19921875,-45.8984375
6,1746312948613.1875,-69.82421875,-24.90234375,-28.3203125,-55.6640625
7,1746312948617.0938,-73.73046875,-46.875,-9.765625,-43.9453125
8,1746312948621,-99.12109375,-39.55078125,-25.87890625,-64.453125
9,1746312948624.9062,-125.48828125,-41.50390625,-29.296875,-94.23828125
10,1746312948628.8125,-142.08984375,-37.59765625,-33.203125,-100.5859375
11,1746312948632.7188,-142.08984375,-41.015625,-22.94921875,-82.03125
0,1746312948636.625,-117.67578125,-46.38671875,-6.8359375,-83.0078125
1,1746312948640.5312,-112.79296875,-46.875,-5.859375,-107.91015625
2,1746312948644.4375,-117.1875,-55.6640625,-0.48828125,-105.46875
3,1746312948648.3438,-127.44140625,-53.22265625,8.7890625,-95.21484375
4,1746312948652.25,-162.109375,-49.8046875,5.859375,-114.2578125
5,1746312948656.1562,-151.85546875,-55.17578125,-2.44140625,-134.765625
6,1746312948660.0625,-138.18359375,-59.5703125,-13.18359375,-133.30078125
7,1746312948663.9688,-155.2734375,-56.15234375,-16.6015625,-132.32421875
8,1746312948667.875,-172.8515625,-55.6640625,-6.8359375,-136.23046875
9,1746312948671.7812,-168.45703125,-56.640625,-1.46484375,-148.4375
10,1746312948675.6875,-181.640625,-52.24609375,-12.20703125,-158.69140625
11,1746312948679.5938,-174.8046875,-53.7109375,-14.6484375,-145.99609375
0,1746312948683.5,-155.2734375,-58.59375,-8.30078125,-128.90625
1,1746312948687.4062,-154.78515625,-61.03515625,-8.30078125,-131.8359375
2,1746312948691.3125,-141.6015625,-60.05859375,-10.7421875,-124.0234375
3,1746312948695.2188,-135.7421875,-64.453125,-12.20703125,-98.14453125
4,1746312948699.125,-144.04296875,-70.80078125,-9.765625,-81.54296875
5,1746312948703.0312,-138.671875,-59.5703125,-8.30078125,-80.078125
6,1746312948706.9375,-125,-47.8515625,-6.8359375,-93.75
7,1746312948710.8438,-105.46875,-56.15234375,-13.18359375,-81.0546875
8,1746312948714.75,-90.33203125,-57.6171875,-10.7421875,-39.55078125
9,1746312948718.6562,-59.5703125,-55.6640625,-3.41796875,-32.2265625
10,1746312948722.5625,-42.96875,-51.26953125,-8.7890625,-42.96875
11,1746312948726.4688,-66.40625,-57.12890625,-12.6953125,-41.9921875
0,1746312948730.375,-41.015625,-60.546875,-12.6953125,-27.83203125
1,1746312948734.2812,-15.625,-51.7578125,-13.18359375,-8.7890625
2,1746312948738.1875,-17.08984375,-44.921875,-15.13671875,6.8359375
3,1746312948742.0938,-18.5546875,-41.9921875,-16.11328125,15.13671875
4,1746312948746,2.44140625,-45.8984375,-17.08984375,18.06640625
5,1746312948749.9062,33.203125,-38.57421875,-16.6015625,25.87890625
6,1746312948753.8125,42.96875,-38.57421875,-19.53125,54.19921875
7,1746312948757.7188,11.71875,-41.9921875,-32.2265625,47.8515625
8,1746312948761.625,14.16015625,-36.62109375,-30.2734375,16.11328125
9,1746312948765.5312,47.8515625,-35.15625,-20.99609375,61.03515625
10,1746312948769.4375,50.29296875,-34.1796875,-30.76171875,78.61328125
11,1746312948773.3438,36.1328125,-35.64453125,-41.015625,68.359375
0,1746312948777.25,69.3359375,-29.78515625,-39.0625,60.546875
1,1746312948781.1562,84.9609375,-25.87890625,-36.1328125,58.10546875
2,1746312948785.0625,45.41015625,-26.85546875,-40.0390625,77.1484375
3,1746312948788.9688,49.31640625,-21.97265625,-45.41015625,65.4296875
4,1746312948792.875,62.01171875,-16.6015625,-47.36328125,56.15234375
5,1746312948796.7812,53.7109375,-3.41796875,-41.015625,83.0078125
6,1746312948800.6875,50.78125,6.8359375,-42.96875,75.1953125
7,1746312948804.5938,55.17578125,12.6953125,-50.78125,54.19921875
8,1746312948808.5,47.8515625,21.97265625,-49.8046875,48.33984375
9,1746312948812.4062,62.98828125,30.2734375,-45.8984375,71.2890625
10,1746312948816.3125,87.40234375,46.875,-45.8984375,65.91796875
11,1746312948820.2188,67.3828125,62.5,-48.33984375,28.3203125
0,1746312948824.125,45.8984375,64.94140625,-49.31640625,44.43359375
1,1746312948828.0312,60.05859375,69.82421875,-51.26953125,43.45703125
2,1746312948831.9375,66.40625,72.265625,-52.24609375,44.921875
3,1746312948835.8438,52.734375,82.03125,-53.7109375,21.97265625
4,1746312948839.75,33.69140625,86.9140625,-61.03515625,7.32421875
5,1746312948843.6562,15.13671875,73.73046875,-58.59375,-2.9296875
6,1746312948847.5625,5.37109375,54.19921875,-49.8046875,-21.484375
7,1746312948851.4688,6.8359375,43.9453125,-50.78125,16.6015625
8,1746312948855.375,31.25,42.48046875,-49.31640625,12.6953125
9,1746312948859.2812,20.99609375,40.52734375,-45.41015625,-3.41796875
10,1746312948863.1875,-18.5546875,51.26953125,-45.41015625,6.8359375
11,1746312948867.0938,0.9765625,76.171875,-47.36328125,-12.20703125
0,1746312948871,17.08984375,91.30859375,-52.24609375,-45.8984375
1,1746312948874.9062,-11.23046875,83.0078125,-51.7578125,-43.45703125
2,1746312948878.8125,-13.671875,76.171875,-48.828125,-34.66796875
3,1746312948882.7188,-5.859375,80.078125,-49.31640625,-36.1328125
4,1746312948886.625,-10.7421875,68.359375,-45.41015625,-29.78515625
5,1746312948890.5312,-18.06640625,68.359375,-46.38671875,-38.0859375
6,1746312948894.4375,-9.765625,82.51953125,-49.8046875,-60.05859375
