index,unixTimestamp,TP9,AF7,AF8,TP10
0,1746313003949.125,-0.48828125,-0.48828125,0,-0.48828125
1,1746313003953.0312,-0.48828125,-0.48828125,0,-0.48828125
2,1746313003956.9375,1.46484375,0.9765625,-2.44140625,1.46484375
3,1746313003960.8438,-4.39453125,-2.9296875,4.8828125,-3.41796875
4,1746313003964.75,21.484375,15.13671875,-29.296875,20.01953125
5,1746313003968.6562,62.5,46.38671875,-73.73046875,55.6640625
6,1746313003972.5625,48.33984375,50.29296875,-76.66015625,62.98828125
7,1746313003976.4688,33.203125,48.828125,-85.9375,58.59375
8,1746313003980.375,23.4375,41.9921875,-82.03125,42.96875
9,1746313003984.2812,28.3203125,39.0625,-79.58984375,43.45703125
10,1746313003988.1875,31.73828125,38.0859375,-82.51953125,43.9453125
11,1746313003992.0938,22.94921875,23.4375,-96.19140625,39.55078125
0,1746313003996,51.26953125,7.8125,-104.4921875,34.66796875
1,1746313003999.9062,52.734375,-6.34765625,-99.12109375,31.25
2,1746313004003.8125,63.96484375,-30.76171875,-106.93359375,31.25
3,1746313004007.7188,63.96484375,-61.03515625,-123.046875,5.37109375
4,1746313004011.625,36.1328125,-83.49609375,-138.671875,10.25390625
5,1746313004015.5312,11.71875,-106.93359375,-165.0390625,-20.99609375
6,1746313004019.4375,-26.3671875,-137.6953125,-196.2890625,-92.28515625
7,1746313004023.3438,-37.109375,-159.66796875,-214.35546875,-103.02734375
8,1746313004027.25,-41.015625,-165.0390625,-218.75,-111.81640625
9,1746313004031.1562,-53.7109375,-168.45703125,-218.75,-134.765625
10,1746313004035.0625,-67.3828125,-176.26953125,-221.6796875,-138.671875
11,1746313004038.9688,-75.68359375,-187.01171875,-227.5390625,-127.44140625
0,1746313004042.875,-73.2421875,-196.77734375,-234.375,-142.08984375
1,1746313004046.7812,-101.07421875,-199.70703125,-244.62890625,-166.9921875
2,1746313004050.6875,-126.953125,-197.265625,-243.65234375,-176.7578125
3,1746313004054.5938,-126.953125,-207.51953125,-257.32421875,-183.10546875
4,1746313004058.5,-144.53125,-228.515625,-276.85546875,-197.75390625
