index,unixTimestamp,TP9,AF7,AF8,TP10
0,1746313057621,-0.48828125,0,0,-0.48828125
1,1746313057624.9062,-0.48828125,0,0,-0.48828125
2,1746313057628.8125,0.9765625,-2.9296875,-2.44140625,3.41796875
3,1746313057632.7188,-2.44140625,4.39453125,3.90625,-8.7890625
4,1746313057636.625,11.23046875,-23.4375,-19.53125,43.45703125
5,1746313057640.5312,41.50390625,-69.3359375,-66.89453125,98.6328125
6,1746313057644.4375,40.0390625,-76.66015625,-52.734375,57.6171875
7,1746313057648.3438,18.06640625,-40.0390625,-40.0390625,-2.44140625
8,1746313057652.25,13.671875,30.76171875,-26.3671875,8.30078125
9,1746313057656.1562,14.16015625,-44.921875,1.46484375,51.7578125
10,1746313057660.0625,15.625,-104.00390625,-37.59765625,20.99609375
11,1746313057663.9688,32.71484375,1.46484375,-54.6875,5.859375
0,1746313057667.875,57.12890625,50.29296875,-24.90234375,83.984375
1,1746313057671.7812,59.5703125,14.16015625,-58.59375,102.5390625
2,1746313057675.6875,8.7890625,-19.04296875,-45.41015625,9.27734375
3,1746313057679.5938,-10.7421875,-46.38671875,11.23046875,0
4,1746313057683.5,14.16015625,-41.015625,12.6953125,20.01953125
5,1746313057687.4062,32.71484375,-6.8359375,2.9296875,-10.7421875
6,1746313057691.3125,-8.7890625,-6.8359375,-24.90234375,27.83203125
7,1746313057695.2188,-28.3203125,-37.59765625,-39.55078125,67.87109375
8,1746313057699.125,-17.08984375,-83.984375,-41.50390625,14.6484375
9,1746313057703.0312,-8.30078125,-26.85546875,-27.34375,9.765625
10,1746313057706.9375,-7.32421875,13.18359375,-27.83203125,33.203125
11,1746313057710.8438,-17.08984375,17.08984375,-23.4375,25.390625
0,1746313057714.75,2.9296875,22.94921875,-11.71875,21.97265625
1,1746313057718.6562,-20.01953125,29.296875,-45.8984375,13.18359375
2,1746313057722.5625,-33.69140625,46.875,-60.05859375,23.4375
3,1746313057726.4688,-9.27734375,-9.765625,-43.45703125,38.57421875
4,1746313057730.375,0,-38.0859375,-24.90234375,29.78515625
5,1746313057734.2812,21.484375,-29.296875,-18.06640625,34.1796875
6,1746313057738.1875,28.3203125,-13.671875,-19.53125,9.765625
7,1746313057742.0938,0.9765625,32.71484375,-17.08984375,-5.37109375
8,1746313057746,-16.6015625,3.90625,-9.27734375,31.73828125
9,1746313057749.9062,-16.6015625,-15.13671875,-18.5546875,40.0390625
10,1746313057753.8125,-33.69140625,18.5546875,-24.4140625,13.18359375
11,1746313057757.7188,-34.1796875,1.953125,-12.6953125,-15.625
0,1746313057761.625,-13.18359375,-26.85546875,-7.8125,-21.484375
1,1746313057765.5312,-10.7421875,-63.96484375,-27.83203125,-10.25390625
2,1746313057769.4375,-21.97265625,-40.52734375,-31.73828125,-1.953125
3,1746313057773.3438,-15.625,4.8828125,-19.53125,-8.7890625
4,1746313057777.25,-8.30078125,-1.953125,-30.2734375,-18.5546875
5,1746313057781.1562,6.34765625,-15.13671875,-25.87890625,4.39453125
6,1746313057785.0625,37.109375,-55.17578125,-10.7421875,34.1796875
7,1746313057788.9688,37.59765625,-26.3671875,-8.30078125,43.45703125
8,1746313057792.875,15.13671875,45.41015625,-11.23046875,32.2265625
9,1746313057796.7812,-3.41796875,-8.7890625,-50.29296875,-21.97265625
10,1746313057800.6875,0.48828125,-25.390625,-76.66015625,-16.6015625
11,1746313057804.5938,-32.2265625,37.59765625,-63.4765625,-8.7890625
0,1746313057808.5,-43.9453125,19.53125,-41.015625,-35.15625
1,1746313057812.4062,-27.83203125,-23.4375,-29.78515625,-38.0859375
2,1746313057816.3125,-31.25,-44.43359375,-8.30078125,-13.671875
3,1746313057820.2188,-29.296875,-58.59375,-7.32421875,-17.08984375
4,1746313057824.125,-26.3671875,-10.7421875,-12.6953125,-37.109375
5,1746313057828.0312,-16.11328125,11.71875,-2.9296875,-18.06640625
6,1746313057831.9375,-15.13671875,-29.296875,-15.625,-5.37109375
7,1746313057835.8438,-15.13671875,-97.16796875,-47.8515625,2.9296875
8,1746313057839.75,2.44140625,-124.0234375,-53.7109375,-7.32421875
9,1746313057843.6562,-7.32421875,0.9765625,-41.015625,-38.0859375
10,1746313057847.5625,11.23046875,68.359375,-25.87890625,-46.38671875
11,1746313057851.4688,21.97265625,9.27734375,-0.9765625,-7.8125
0,1746313057855.375,-6.8359375,-27.34375,-15.625,-8.7890625
1,1746313057859.2812,-28.3203125,-10.7421875,-32.71484375,-56.15234375
2,1746313057863.1875,-24.90234375,-31.73828125,-11.71875,-43.9453125
3,1746313057867.0938,-54.6875,-45.41015625,-41.50390625,-38.57421875
4,1746313057871,-104.00390625,-63.4765625,-80.078125,-34.66796875
5,1746313057874.9062,-63.4765625,-95.703125,-58.10546875,-11.71875
6,1746313057878.8125,-31.73828125,-74.21875,-45.41015625,-25.390625
7,1746313057882.7188,-54.19921875,-81.54296875,-50.29296875,-73.73046875
8,1746313057886.625,-39.55078125,-54.6875,-26.85546875,-56.640625
9,1746313057890.5312,-27.83203125,53.7109375,-20.01953125,-28.80859375
10,1746313057894.4375,-84.47265625,55.6640625,-25.87890625,-46.875
11,1746313057898.3438,-62.98828125,-29.296875,-14.16015625,-49.8046875
0,1746313057902.25,0,-73.73046875,-0.48828125,-24.90234375
1,1746313057906.1562,-9.27734375,-32.71484375,-12.6953125,-18.5546875
2,1746313057910.0625,-21.484375,-2.44140625,-32.2265625,-33.69140625
3,1746313057913.9688,1.953125,-43.45703125,-19.53125,-8.7890625
4,1746313057917.875,-9.765625,-57.6171875,-43.45703125,-11.71875
5,1746313057921.7812,-31.25,-21.97265625,-63.4765625,-64.453125
6,1746313057925.6875,-4.39453125,-31.73828125,-41.9921875,-29.296875
7,1746313057929.5938,9.765625,-39.55078125,-51.7578125,1.953125
8,1746313057933.5,9.27734375,-71.2890625,-36.62109375,-44.43359375
9,1746313057937.4062,-12.6953125,-20.01953125,-37.109375,-101.07421875
10,1746313057941.3125,-67.87109375,18.5546875,-34.1796875,-99.609375
11,1746313057945.2188,-32.71484375,-62.5,-11.23046875,-50.78125
0,1746313057949.125,-0.48828125,-40.0390625,-31.25,-41.50390625
1,1746313057953.0312,-16.6015625,-19.04296875,-41.9921875,-23.92578125
2,1746313057956.9375,-29.296875,-49.8046875,-42.48046875,-9.27734375
3,1746313057960.8438,-50.78125,-66.89453125,-33.203125,-33.203125
4,1746313057964.75,-39.0625,-59.5703125,-25.390625,-36.1328125
5,1746313057968.6562,-45.41015625,-52.734375,-39.0625,-21.97265625
6,1746313057972.5625,-41.50390625,-56.15234375,-35.64453125,-20.99609375
7,1746313057976.4688,-44.921875,-43.9453125,-31.73828125,-27.34375
8,1746313057980.375,-83.49609375,-27.83203125,-45.8984375,-47.8515625
9,1746313057984.2812,-58.59375,-37.109375,-39.0625,-45.41015625
10,1746313057988.1875,-19.53125,-58.10546875,-13.671875,-11.23046875
11,1746313057992.0938,-20.5078125,-41.015625,-26.3671875,-27.83203125
0,1746313057996,-25.87890625,-29.296875,-62.98828125,-47.8515625
1,1746313057999.9062,0.48828125,-55.17578125,-20.99609375,-7.8125
2,1746313058003.8125,14.6484375,-36.62109375,-15.625,9.765625
3,1746313058007.7188,-15.625,-21.484375,-68.84765625,-30.76171875
4,1746313058011.625,-52.734375,-5.37109375,-41.50390625,-62.98828125
5,1746313058015.5312,-67.87109375,16.11328125,-27.83203125,-75.1953125
6,1746313058019.4375,-45.41015625,-41.9921875,-22.4609375,-32.2265625
7,1746313058023.3438,-37.109375,-99.12109375,-12.6953125,-15.625
8,1746313058027.25,-37.109375,-44.921875,-14.6484375,-33.203125
9,1746313058031.1562,-60.546875,0.48828125,-34.66796875,-24.90234375
10,1746313058035.0625,-70.3125,2.9296875,-47.8515625,-5.37109375
11,1746313058038.9688,-30.2734375,-11.23046875,-39.0625,-35.15625
0,1746313058042.875,-26.3671875,-71.77734375,-54.6875,-36.1328125
1,1746313058046.7812,-41.9921875,-92.28515625,-47.8515625,18.5546875
2,1746313058050.6875,-62.01171875,-15.13671875,-28.80859375,-9.765625
3,1746313058054.5938,-83.0078125,24.4140625,-34.1796875,-49.31640625
4,1746313058058.5,-57.6171875,-0.48828125,-34.66796875,-24.4140625
5,1746313058062.4062,-68.359375,-17.578125,-32.71484375,-5.37109375
6,1746313058066.3125,-94.23828125,-28.80859375,-37.109375,-35.64453125
7,1746313058070.2188,-50.78125,-24.90234375,-30.76171875,5.859375
8,1746313058074.125,-26.85546875,-33.69140625,-21.97265625,42.96875
9,1746313058078.0312,-56.15234375,-79.1015625,-35.15625,26.85546875
10,1746313058081.9375,-51.7578125,-64.453125,-45.8984375,48.828125
11,1746313058085.8438,-25.390625,-11.23046875,-65.91796875,33.203125
0,1746313058089.75,-27.34375,4.39453125,-41.9921875,-28.80859375
1,1746313058093.6562,-53.7109375,-30.76171875,-27.34375,4.8828125
2,1746313058097.5625,-74.21875,-55.6640625,-49.31640625,51.7578125
3,1746313058101.4688,-48.828125,-26.3671875,-18.06640625,15.625
4,1746313058105.375,-34.1796875,13.671875,-13.671875,-7.32421875
5,1746313058109.2812,-29.78515625,28.3203125,-40.52734375,-29.296875
6,1746313058113.1875,-21.484375,-4.39453125,-38.57421875,-18.06640625
7,1746313058117.0938,-63.4765625,-14.6484375,-19.53125,17.08984375
8,1746313058121,-95.21484375,-27.83203125,-9.27734375,36.1328125
9,1746313058124.9062,-92.28515625,-62.98828125,-29.78515625,40.0390625
10,1746313058128.8125,-68.84765625,-41.50390625,-42.96875,25.87890625
11,1746313058132.7188,-52.734375,-3.41796875,-25.390625,26.3671875
0,1746313058136.625,-44.43359375,-8.30078125,-15.13671875,29.78515625
1,1746313058140.5312,-48.33984375,-26.85546875,-28.80859375,30.2734375
2,1746313058144.4375,-58.59375,-61.5234375,-44.921875,46.875
3,1746313058148.3438,-41.015625,-57.12890625,-36.62109375,54.19921875
4,1746313058152.25,-56.15234375,-29.296875,-38.57421875,18.06640625
